FWDmax1,FWDmax2,FWDmax3,FWDmax4,FWDmax5,FWDmax6,FWD_tra1,FWD_tra2,FWD_tra3,FWD_rot1,FWD_rot2,FWD_rot3,Exclude_motion
0.093711,0.099994,0.152418,0.135906,0.116769,0.117571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.222747,0.163678,0.423627,0.905331,0.348130,0.234512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.218135,0.080874,0.148643,0.226662,0.120035,0.265967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.491379,0.128869,0.692356,0.296219,0.334607,0.327445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.264142,0.089385,0.101399,0.076490,0.079125,0.143927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.194596,0.074647,0.161656,0.145990,0.180596,0.129145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.391393,0.228080,0.389556,0.451434,0.176929,0.241215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.413990,0.612666,0.468607,0.594616,0.206952,0.242762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.185605,0.121941,0.267496,0.346812,0.117227,0.107773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.410731,0.260488,0.470741,0.395627,0.217781,0.199274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.177839,0.190852,0.560294,0.417687,0.097747,0.101528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.229296,0.206576,0.893101,0.901148,0.213656,0.180768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.212355,0.070180,0.075557,0.129947,0.122097,0.149026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.488104,0.100197,0.502736,0.153152,0.154355,0.164669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.272574,0.231854,0.279391,0.444729,0.176127,0.410983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.138023,0.034190,0.144120,0.133384,0.092819,0.142093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.221125,0.082318,0.153761,0.264706,0.370990,0.180597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.286660,0.066192,0.377377,0.416196,0.088522,0.167476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.687986,0.835812,2.021581,0.650020,0.371391,0.363656,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0.144434,0.060923,0.108079,0.129144,0.123415,0.137567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.111004,0.055284,0.181929,0.190394,0.144729,0.144385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.222951,0.073115,0.151050,0.287281,0.082964,0.111154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.327360,0.093397,0.252188,0.234627,0.129202,0.177273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.372157,0.078545,0.269833,0.674085,0.202369,0.223454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.202335,0.095992,0.293199,0.204947,0.270149,0.185696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.276689,0.093492,0.487894,0.386632,0.286307,0.278400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.285485,0.233764,0.879426,0.469710,0.219156,0.153552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.186768,0.055905,0.312163,0.222250,0.182544,0.133155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.234214,0.078715,0.256127,0.220359,0.293469,0.196066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.178442,0.083013,0.210589,0.165413,0.118316,0.225975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
